	2020-03-15 03:00:00	2020-03-16 03:00:00	2020-03-18 10:47:00	2020-03-18 19:30:00	2020-03-19 09:29:00	2020-03-19 12:00:00	2020-03-19 13:20:00	2020-03-20 15:25:00	2020-03-21 16:14:00	2020-03-22 14:15:00	2020-03-23 15:03:00	2020-03-24 14:49:00	2020-03-25 13:46:00	2020-03-26 13:49:00	2020-03-27 14:19:00	2020-03-28 14:55:00	2020-03-29 15:38:00
Saratoga	3.0	5.0	9.0	14.0	14.0	14.0	18.0	24.0	35.0	41.0	53.0	53.0	64.0	73.0	82.0	96.0	102.0
Schenectady	2.0	4.0	5.0	14.0	14.0	14.0	18.0	21.0	32.0	39.0	44.0	44.0	55.0	62.0	66.0	72.0	76.0
Schoharie	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	5.0	5.0
Schuyler	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
St. Lawrence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	3.0	8.0	12.0
Steuben	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	4.0	4.0	8.0	11.0	12.0	13.0	17.0
Suffolk	47.0	63.0	84.0	116.0	116.0	116.0	178.0	371.0	662.0	1034.0	1458.0	1880.0	2260.0	2735.0	3385.0	4138.0	5023.0
Sullivan	0.0	0.0	1.0	1.0	1.0	1.0	3.0	8.0	12.0	16.0	23.0	23.0	39.0	53.0	64.0	72.0	88.0
Tioga	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	4.0	4.0
Tompkins	1.0	1.0	2.0	3.0	3.0	3.0	6.0	7.0	11.0	13.0	15.0	15.0	16.0	22.0	26.0	45.0	52.0
Total Number of Positive Cases	729.0	950.0	1374.0	2382.0	2382.0	2382.0	4152.0	7102.0	10356.0	15168.0	20875.0	25665.0	30811.0	37258.0	44635.0	52318.0	59513.0
Ulster	5.0	7.0	8.0	9.0	9.0	9.0	10.0	12.0	18.0	26.0	35.0	35.0	65.0	78.0	98.0	128.0	146.0
Warren	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	8.0	13.0	18.0
Washington	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	4.0	4.0	6.0	6.0	7.0
Wayne	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	3.0	6.0	6.0	7.0	8.0	11.0	12.0	12.0
Westchester	196.0	220.0	380.0	538.0	538.0	538.0	798.0	1091.0	1387.0	1873.0	2894.0	3891.0	4691.0	5944.0	7187.0	7875.0	8519.0
Wyoming	0.0	0.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	4.0	4.0	4.0	7.0	7.0	7.0	8.0
